CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V2_02,V2_03,V21_01,V22_01,V3,V4,V5_02,V5_03,V6,V7,V8,V9,V10,V11_01,V11_02,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,V5_01,V21_02,V21_03,V22_02,V22_03,V2_01
TQSMNOQQWHMNRRCDEIJAH00867771,2024,4,1,1,1,S,33,2311,1,,3,1,,4,1,1,2,,1,1,1,2,2,2,2,3,2,2,0,1,2,2,1,2,2,0,4,,2,,1,1,2,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,1,2,700000,4,,3,4,,4,"233333,33",3,,3,3,,3,3866,2,0,1,0,0,0,2,2,2,2,2,0
TQRMNOSTWHKMQRCDEIJAH00874375,2024,4,1,1,1,S,33,3324,2,,1,1,,2,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,3,,2,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,600000,3,,3,3,,3,600000,8,,7,7,,8,3574,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNORRPHJOMLCDEHPJB00874376,2024,4,1,1,40,S,29,422,1,,2,1,,4,1,1,1,,1,1,1,2,2,2,2,2,1,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,1650000,8,9,9,8,,9,825000,9,9,10,9,,10,624,1,2,98,0,0,0,2,2,2,2,2,0
TQRMNOSQTHMMKUCDEHIBB00810862,2024,4,1,1,40,N,22,108,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,3,0,3,980000,5,6,6,,6,6,"326666,67",5,5,6,,5,6,119,2,0,3,0,0,0,2,2,2,1,2,1
TQRMNOQPQHLNKUCDEHIBB00853723,2024,4,1,1,40,N,22,94,1,,2,1,,2,1,1,1,,1,2,1,2,2,1,2,2,2,2,0,1,2,2,2,0,2,0,4,,2,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,1,3,720000,4,4,5,,4,5,180000,2,2,3,,2,3,99,1,0,98,0,0,0,2,2,2,2,2,0
TQRMNOSPQHKOLPCDEGLDF00867759,2024,4,1,1,41,N,15,243,1,,4,2,,4,2,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,2,2,2,0,2,0,1,,2,,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,0,1,322700,1,1,2,,1,2,322700,5,5,6,,5,7,249,1,0,97,0,0,0,2,2,2,1,2,2
TQRMNOTWUHKOLQCDEGLDF00874485,2024,4,1,1,41,N,15,184,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,1,3,1700000,8,9,10,,9,10,425000,6,6,8,,7,8,187,3,0,1,2,0,0,2,2,2,2,2,0
TQRMNORQYHLMLNCDEGIBJ00852732,2024,4,1,1,41,N,12,261,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,2,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,748640,4,4,5,,4,5,"249546,67",3,3,5,,4,4,261,2,0,2,0,0,0,2,2,2,2,2,2
TQRMNOTWSHLMLNCDEGIBJ00852733,2024,4,1,1,41,N,12,398,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,1,,2,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,5,1,4,1384320,7,8,9,,8,9,276864,4,4,5,,4,4,408,1,0,2,0,0,0,1,2,2,1,2,2
TQRMNORSWHMMLMCDEGIBJ00809873,2024,4,1,1,41,N,12,273,1,,4,1,,4,1,1,1,,1,1,1,1,2,1,2,4,2,2,0,1,1,1,2,0,2,0,1,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,1600000,8,8,9,,9,9,"533333,33",7,7,9,,8,8,274,2,0,1,4,0,0,2,2,2,2,2,1
